taskid,beam
190807041,3
190807041,27
190807041,28
190807042,27
190807042,28
190810041,29
190811041,29
190907041,39
190907042,39
190908041,39
190919048,5
190919049,5
191003042,21
191003043,21
191004041,21
191005041,21
191006041,21
191006058,21

191025081,25
191025081,31
191026001,25
191026001,31
191027043,2
191027043,31
191031242,29
191031242,32
191031242,36


191101041,16
191101041,31
191101041,32
191101041,35
191101041,36

191102001,32
191102001,36

191103033,22
191103033,23
191103033,24
191103033,25
191103033,26
191103033,27
191103033,28
191103033,29
191103033,32
191103034,32

191113139,0
191113139,20
191114041,0
191114041,20
191115040,0
191115040,20
191115041,0
191115041,20
191116041,0
191116041,20
191117038,0
191117038,20
191117039,0
191117039,20
191208041,0
191209025,0
191209025,20
200108171,0
200108171,1
200109001,0
200109001,1
200110007,0
200110007,1
200110008,0
200110008,1
200111041,0
200111041,1
200112006,0
200112006,1
200112007,0
200112007,1
200113040,0
200113040,1
200124041,37
200125001,37
200126082,3
200126082,29
200225049,0
200226001,0
200227035,0
200227076,0
200228001,0
200229034,0
200229075,0
200301001,0
200302033,0
200302074,0
200303001,0
200304032,0
200305001,0
200306031,0
200306072,0
200307001,0
200309042,0
200309042,1
200309042,2
200309042,3
200309042,4
200309042,5
200309042,6
200309042,7
200309042,8
200309042,9
200309042,10
200309042,11
200309042,12
200309042,13
200309042,14
200309042,15
200309042,16
200309042,17
200309042,18
200309042,19
200309042,20
200309042,21
200309042,22
200309042,23
200309042,24
200309042,25
200309042,26
200309042,27
200309042,28
200309042,29
200309042,30
200309042,31
200309042,32
200309042,33
200309042,34
200309042,35
200309042,36
200309042,37
200309042,38
200309042,39
200406054,0
200429042,0
200429042,1
200429042,2
200429042,3
200429042,4
200429042,5
200429042,6
200429042,7
200429042,8
200429042,9
200429042,10
200429042,11
200429042,12
200429042,13
200429042,14
200429042,15
200429042,16
200429042,17
200429042,18
200429042,19
200429042,20
200429042,21
200429042,22
200429042,23
200429042,24
200429042,25
200429042,26
200429042,27
200429042,28
200429042,29
200505057,0
200505057,1
200505057,2
200505057,3
200505057,4
200505057,5
200505057,6
200505057,7
200505057,8
200505057,9
200505057,10
200505057,11
200505057,12
200505057,13
200505057,14
200505057,15
200505057,16
200505057,17
200505057,18
200505057,19
200505057,20
200505057,21
200505057,22
200505057,23
200505057,24
200505057,25
200505057,26
200505057,27
200505057,28
200505057,29
200505057,30
200505057,31
200505057,32
200505057,33
200505057,34
200505057,35
200505057,36
200505057,37
200505057,38
200505057,39
200603135,14
200618082,0
200619086,0
200620085,0
200621042,0
200622045,0
200702041,0
200702041,5
200703001,0
200703001,5
200703001,11
200703001,16
200703001,17
200703001,18
200703042,20
200703042,22
200729168,0
200729168,1
200729168,2
200729168,3
200729168,4
200729168,5
200729168,6
200729168,7
200729168,8
200729168,9
200729168,10
200729168,11
200729168,12
200729168,13
200729168,14
200729168,15
200729168,16
200729168,17
200729168,18
200729168,19
200729168,20
200729168,21
200729168,22
200729168,23
200729168,24
200729168,25
200729168,26
200729168,27
200729168,28
200729168,29
200729168,30
200729168,31
200729168,32
200729168,33
200729168,34
200729168,35
200729168,36
200729168,37
200729168,38
200729168,39
