taskID,name
190711169,S2152+4114
190712041,M1403+5324
190713001,M0155+3130
190713042,S2323+2904
190714041,S1444+5058
190718124,S2146+4340
190719041,S1242+5058
190719042,M0155+3130
190720041,S2336+2904
190721041,S1426+5058
190722001,M0208+3130
190725041,S1236+6041
190725042,M0155+3130
190726041,S2319+3130
190727041,S1439+5324
190727042,M0208+3356
190728041,S2258+2904
190731125,S2227+3130
190801041,S1334+5058
190801042,M0155+3130
190806345,S2311+2904
190807041,M1403+5324
190807042,M0155+3130
190808041,S2306+3130
190809041,S1421+5324
190809042,M0155+3130
190810041,S2253+3130
190811041,S1409+5058
190822046,S1025+5550
190822047,S2204+3848
190823041,S1258+6041
190823042,M0155+3130
190824041,S2154+4606
190906044,S1025+5550
190906045,S2204+3848
190907041,S1342+6041
190907042,M0155+3130
190908041,S2201+4340
190913045,M1403+5324
190913046,M0155+3130
190914041,S2332+3130
190915041,S1435+5550
190915042,M0209+3622
190919048,S1305+5815
190919049,M0155+3356
190920041,S2345+3130
190921041,S1454+5550
190921042,S0218+3848
190922041,S2240+3130
191003042,S1102+5815
191003043,S2235+3356
191004041,S1346+5815
191004042,M0155+3130
191005041,S2207+4114
191006041,S1259+5550
191006058,M0155+3130
191009038,S1041+5058
191009039,S2221+3356
191010041,M1403+5324
191010042,M0142+3130
191011041,S2210+4606
191012041,S1318+5550
191012042,M0141+3356
191013041,S2215+3622
191014041,S1320+6041
191024043,S1402+3622
191024044,M0155+3622
191025081,M0155+3622
191026001,S1408+3356
191027043,S1401+3130
191027044,M0155+3622
191031242,M0155+3622
191101041,M0155+3622
191102001,M1403+5324
191103033,S1414+3130
191103034,M0155+3622
191113139,M0155+3622
191114041,S2216+4340
191115040,M1304+2904
191115041,M0155+3622
191116041,S2218+3848
191117038,M1317+2904
191117039,M0155+3622
191120096,M0155+3622
191121046,S2221+4114
191122035,M1309+3130
191122036,M0209+3622
191123047,S2229+3622
191124035,M1330+2904
191124036,M0209+3622
191125047,S2232+3848
191207034,M1403+5324
191207035,M0155+3356
191208041,S2236+4114
191209025,M1342+2904
191209026,S0129+3130
191218226,S1021+5815
191219001,S2243+3622
191220017,M1322+3130
191220018,M0141+3622
191221041,S1629+5324
191221082,S1109+6041
191222001,S2301+3356
191223021,S1409+5058
191223022,M0155+3356
191224041,S2246+3848
191225014,M1335+3130
191225015,M0155+3356
191226041,S2250+4114
191227013,M1348+3130
191227014,M0155+3356
191228041,S2257+3622
191229013,S1352+5058
191229014,M0155+3356
191230041,S2300+3848
191231012,S1345+5324
191231013,M0155+3356
200101041,S2301+4340
200102011,S1356+5550
200102012,M0155+3356
200103041,S2305+4114
200104010,S1407+5815
200104011,M0155+3356
200105041,S2310+3622
200106009,M1403+5324
200106010,M0155+3356
200108171,S1026+6041
200109001,S2315+3356
200110007,S1415+5550
200110008,M0209+3622
200111041,S2314+3848
200112006,S1404+6041
200112007,M0209+3622
200113040,S2314+4606
200122050,S1334+5058
200123001,S0214+4114
200124041,S2317+4340
200124082,S1426+6041
200125001,S0218+4340
200126041,S2319+4114
200126082,S1428+5815
200128124,M1403+5324
200129001,M0209+3622
200130106,S1448+5815
200131001,M0209+3622
200201046,S2328+3356
200201087,S1458+5324
200202001,S0222+3622
200225049,S1501+5058
200226001,S0243+4114
200227035,S2148+3622
200227076,M1252+2904
200228001,M0142+3130
200229034,S2149+3848
200229075,M1243+3130
200301001,M0142+3130
200302033,S2155+3356
200302074,M1403+5324
200303001,M0141+3356
200304032,S2202+3622
200305001,M0141+3622
200306031,S2201+3130
200306072,M1248+3356
200307001,M0141+3356
200309042,S1042+5324
200311126,S1448+3356
200312001,S0249+4340
200313027,S2208+3356
200313068,M1256+3130
200314001,M0141+3622
200315026,S2214+3130
200315067,M1301+3356
200316001,M0208+3356
200317024,S2226+4606
200325126,S1513+5550
200326001,S0232+3848
200327019,S2218+4832
200327060,S1516+5324
200328001,S0257+4114
200329018,S2231+4340
200329059,S1532+5550
200330001,S0312+4114
200331017,S2235+4832
200331058,S1534+5324
200401001,S0304+4340
200402015,S2242+4606
200402056,S1552+5324
200403001,S0327+4114
200404014,S2246+4340
200404055,S1551+5550
200405001,S0319+4340
200406013,S2252+4832
200406054,S1611+5324
200425057,S1421+3356
200426041,S1123+5550
200427001,S2341+4832
200427042,S1427+3130
200428041,S1122+5815
200429001,S2342+5058
200429042,S1440+3130
200430053,S1131+6041
200501001,S2346+5324
200501042,S1435+3356
200502054,S1142+5550
200503001,S2358+4832
200503042,S1443+3622
200505016,S0001+4606
200505057,S1446+3848
200603135,S2258+4606
200604041,M1341+3356
200605001,M0142+3130
200605042,S2308+4832
200606041,S1355+3356
200607001,M0141+3356
200618082,M0142+3130
200619086,M0142+3130
200620085,M0141+3356
200621042,M0141+3356
200622045,M0141+3622
200624132,M0141+3622
200624213,S2245+2904
